lang,macro_f1_phi,macro_f1_llama
acm_Arab,,0.3555479642408417
arb_Arab,0.1490656236418948,0.5194191707539166
arb_Latn,,0.117032568851803
ary_Arab,,0.5060807906621039
asm_Beng,0.057051282051282,0.1730481400763664
ast_Latn,,0.4453106916650884
bem_Latn,,0.1897546070164354
ben_Beng,0.0288461538461538,0.2192144420660499
bjn_Latn,,0.261332014785426
bul_Cyrl,0.1154976303317535,0.3532616741179414
cat_Latn,0.1010240900596684,0.3502395470752138
ceb_Latn,,0.2655335936570026
ces_Latn,0.101722309794833,0.4103700132818943
cjk_Latn,,0.2485304902666219
dan_Latn,0.1288124829642188,0.3480457977206302
deu_Latn,0.1187203040861577,0.3691758111240674
dik_Latn,,0.2759394998954495
dyu_Latn,,0.249698355630559
ell_Grek,0.0840880945384324,0.4856969477620562
eng_Latn,0.0493827160493827,0.3209635487015047
est_Latn,0.1686232116164851,0.4508229502606223
eus_Latn,0.0629893950510238,0.2945749649304089
ewe_Latn,,0.1876032411406535
fin_Latn,0.1241128711747005,0.3066500582352267
fra_Latn,0.1436292132120539,0.4273836292810619
glg_Latn,,0.3713618155178698
guj_Gujr,0.0,0.0824393959035519
hat_Latn,0.0700323339212228,0.1945520912046499
hau_Latn,,0.1648476437101225
heb_Hebr,0.1506629597946963,0.3684893003032319
hin_Deva,0.0888010540184453,0.4972153598281418
hrv_Latn,0.0972222222222222,0.4823385478279804
hun_Latn,0.1206031746031746,0.3671282146954065
ind_Latn,0.0937323745064861,0.3666173770681675
ita_Latn,0.1136712749615975,0.3309113356246199
jpn_Jpan,0.0704343275771847,0.4042704992149887
kan_Knda,0.0286885245901639,0.0951964633133627
kat_Geor,0.0,0.2207311207311207
kea_Latn,,0.3149764991023677
khm_Khmr,,0.2381443367671951
kir_Cyrl,,0.373211350216886
kor_Hang,0.0820695764741675,0.4056436453450836
lus_Latn,,0.3385905721166581
mal_Mlym,0.0089285714285714,0.0938036050592979
mar_Deva,0.1010680695042244,0.3731891253990631
min_Arab,,0.1201986821105674
mkd_Cyrl,,0.3390779705440655
mya_Mymr,0.0089285714285714,0.1108520460279613
nld_Latn,0.1095922528032619,0.4177967160180534
nob_Latn,0.1024444998752806,0.3592239489024217
npi_Deva,0.050251256281407,0.3609756932355429
ory_Orya,0.028125,0.1056248711319232
pan_Guru,0.0333333333333333,0.0964556718801715
pol_Latn,,0.4124127309472137
por_Latn,0.0823064403627063,0.352290393887013
quy_Latn,0.0558441558441558,0.3645376624479541
ron_Latn,0.079084389429217,0.3762015688493025
rus_Cyrl,0.1564570119802678,0.3896915390672104
snd_Arab,,0.2871270738100089
spa_Latn,0.1313069908814589,0.3813330335105193
srp_Cyrl,0.1182504719949653,0.5024119274001844
swh_Latn,0.0328603435399551,0.2475546002788325
tam_Taml,0.0,0.3098316050866836
taq_Tfng,,0.0740821604121922
tel_Telu,0.0254237288135593,0.0876001688107184
tha_Thai,0.0891240596710442,0.6011153939133127
tuk_Latn,,0.2833908729707679
tum_Latn,,0.1618840979014556
tur_Latn,0.0583333333333333,0.3647617642729028
ukr_Cyrl,0.1339807968215428,0.3370276868734091
urd_Arab,0.1014939309056956,0.3595805143030258
vie_Latn,0.066824656691945,0.4347991054129161
zho_Hans,0.109083564014635,0.3880768548958527
zsm_Latn,0.0977191267513848,0.3934166926500391
