micro_f1,macro_f1,precision,recall,accuracy,lang
0.5294117647058824,0.31497649910236775,0.5294117647058824,0.5294117647058824,0.5294117647058824,kea_Latn
0.25,0.24853049026662194,0.25,0.25,0.25,cjk_Latn
0.4264705882352941,0.33859057211665816,0.4264705882352941,0.4264705882352941,0.4264705882352941,lus_Latn
0.24019607843137256,0.11703256885180302,0.24019607843137256,0.24019607843137256,0.24019607843137256,arb_Latn
0.19607843137254902,0.1648476437101225,0.19607843137254902,0.19607843137254902,0.19607843137254902,hau_Latn
0.24509803921568626,0.1897546070164354,0.24509803921568626,0.24509803921568626,0.24509803921568626,bem_Latn
0.3627450980392157,0.2833908729707679,0.3627450980392157,0.3627450980392157,0.3627450980392157,tuk_Latn
0.20098039215686275,0.16188409790145566,0.20098039215686275,0.20098039215686275,0.20098039215686275,tum_Latn
0.7107843137254902,0.36661737706816755,0.7107843137254902,0.7107843137254902,0.7107843137254902,ind_Latn
0.7058823529411765,0.5060807906621039,0.7058823529411765,0.7058823529411765,0.7058823529411765,ary_Arab
0.5882352941176471,0.3390779705440655,0.5882352941176471,0.5882352941176471,0.5882352941176471,mkd_Cyrl
